"esr";"status";"type";"osm_id";"lat";"lon";"name";"alt_name";"old_name";"official_name";"railway";"user"
"010002";"1";"0";"665115765";"61.78421783";"34.34402084";"Петрозаводск-Пассажирский";"";"";"";"station";"010002"
"010318";"1";"0";"370804";"61.88643265";"34.24979401";"Шуйский Мост";"";"";"";"halt";"010318"
"010407";"1";"0";"370656";"61.94111252";"34.25039291";"Шуйская";"";"";"";"station";"010407"
"010411";"1";"0";"1328926694";"61.98009872";"34.24554825";"427 км";"";"";"";"halt";"010411"
"010426";"1";"0";"1424435426";"62.03767776";"34.21403503";"Лучевой";"";"";"";"station";"010426"
"010500";"1";"0";"26919789";"62.11172485";"34.24343872";"Суна";"";"";"";"station";"010500"
"010515";"1";"0";"26904534";"62.06446457";"34.23099136";"437 км";"Лучевой-2";"";"";"station";"010515"
"010604";"1";"0";"26919754";"62.16843796";"34.20512009";"Заделье";"";"";"";"halt";"010604"
"010623";"1";"0";"3417936032";"62.20711136";"34.22889328";"454 км";"";"";"";"halt";""
"010708";"1";"0";"26919691";"62.20932007";"34.27616501";"Кондопога";"";"";"";"station";"010708"
"010712";"1";"0";"3417934261";"62.23991394";"34.43766785";"468 км";"";"";"";"halt";""
"010727";"1";"0";"26918764";"62.26054764";"34.44886398";"Мянсельга";"";"";"";"station";"010727"
"010731";"1";"0";"26918733";"62.29930496";"34.51671219";"Илемсельга";"";"";"";"station";"010731"
"010801";"1";"0";"26918704";"62.36235428";"34.48793793";"Кедрозеро";"";"";"";"station";"010801"
"010816";"1";"0";"3417932494";"62.38610077";"34.47196579";"489 км";"";"";"";"halt";""
"010820";"1";"0";"1424435421";"62.41857147";"34.43115997";"Лижма";"";"";"";"station";"010820"
"010843";"1";"0";"1424435369";"62.58838272";"34.28704453";"Викшезеро";"";"";"";"halt";"010843"
"010854";"1";"0";"1338917317";"62.64903259";"34.25554276";"522 км";"";"";"";"halt";""
"010905";"1";"0";"244602700";"62.22364426";"34.33430481";"Нигозеро";"";"";"";"station";"010905"
"011005";"1";"0";"26919441";"62.6740799";"34.26928329";"Кяппесельга";"";"";"";"station";"011005"
"011015";"1";"0";"1338917333";"62.7390976";"34.3612175";"Уница";"";"";"";"halt";"011015"
"011109";"1";"0";"1424435449";"62.80158234";"34.45722198";"Пергуба";"";"";"";"station";"011109"
